date,country,ISO_2
2017-07-09,Argentina,AR
2017-07-09,Norway,NO
2017-07-09,Sweden,SE
2017-07-12,Northern Ireland,None
2017-07-12,United Kingdom,GB
2017-07-14,France,FR
2017-07-16,Norway,NO
2017-07-16,Sweden,SE
2017-07-17,Japan,JP
2017-07-20,Colombia,CO
2017-07-21,Belgium,BE
2017-07-23,Norway,NO
2017-07-23,Sweden,SE
2017-07-30,Norway,NO
2017-07-30,Sweden,SE
2017-08-01,Switzerland,CH
2017-08-05,Croatia,HR
2017-08-06,Norway,NO
2017-08-06,Sweden,SE
2017-08-07,Canada,CA
2017-08-07,Colombia,CO
2017-08-07,Ireland,IE
2017-08-07,Scotland,None
2017-08-07,United Kingdom,GB
2017-08-09,South Africa,ZA
2017-08-11,Japan,JP
2017-08-13,Norway,NO
2017-08-13,Sweden,SE
2017-08-15,Austria,AT
2017-08-15,Belgium,BE
2017-08-15,Croatia,HR
2017-08-15,France,FR
2017-08-15,India,IN
2017-08-15,Italy,IT
2017-08-15,Poland,PL
2017-08-15,Portugal,PT
2017-08-15,Slovenia,SI
2017-08-15,Spain,ES
2017-08-17,Argentina,AR
2017-08-20,Hungary,HU
2017-08-20,Norway,NO
2017-08-20,Sweden,SE
2017-08-21,Colombia,CO
2017-08-24,Ukraine,UA
2017-08-27,Norway,NO
2017-08-27,Sweden,SE
2017-08-28,England,None
2017-08-28,Isle of Man,IM
2017-08-28,Northern Ireland,None
2017-08-28,United Kingdom,GB
2017-08-28,Wales,None
2017-09-03,Norway,NO
2017-09-03,Sweden,SE
2017-09-04,Canada,CA
2017-09-04,United States,US
2017-09-07,Brazil,BR
2017-09-10,Norway,NO
2017-09-10,Sweden,SE
2017-09-15,Mexico,MX
2017-09-16,Mexico,MX
2017-09-17,Norway,NO
2017-09-17,Sweden,SE
2017-09-18,Japan,JP
2017-09-23,Japan,JP
2017-09-24,Norway,NO
2017-09-24,South Africa,ZA
